iter	Passed	Remaining
0	21	43746
1	31	31396
2	53	35834
3	70	35278
4	95	38044
5	111	36983
6	135	38596
7	148	36925
8	240	53164
9	296	58969
10	329	59512
11	338	56108
12	354	54236
13	376	53438
14	401	53102
15	415	51490
16	441	51552
17	461	50813
18	472	49263
19	503	49894
20	526	49599
21	542	48772
22	598	51413
23	608	50114
24	619	48960
25	641	48734
26	685	50074
27	712	50152
28	725	49311
29	748	49173
30	763	48497
31	815	50179
32	844	50329
33	867	50147
34	895	50279
35	914	49887
36	923	48986
37	954	49256
38	985	49576
39	1000	49003
40	1009	48230
41	1027	47907
42	1059	48240
43	1112	49448
44	1150	49968
45	1172	49799
46	1209	50262
47	1224	49782
48	1236	49216
49	1252	48844
50	1269	48530
51	1290	48337
52	1316	48375
53	1344	48463
54	1364	48247
55	1387	48167
56	1406	47955
57	1427	47799
58	1437	47304
59	1463	47320
60	1475	46909
61	1485	46423
62	1498	46065
63	1517	45896
64	1539	45836
65	1546	45331
66	1579	45577
67	1593	45284
68	1616	45252
69	1653	45599
70	1679	45625
71	1725	46202
72	1734	45779
73	1747	45477
74	1759	45154
75	1777	44995
76	1798	44920
77	1805	44479
78	1813	44104
79	1833	44013
80	1844	43699
81	1853	43361
82	1880	43421
83	1904	43452
84	1915	43147
85	1936	43091
86	1955	43009
87	1977	42969
88	1987	42685
89	2017	42814
90	2034	42685
91	2036	42239
92	2083	42730
93	2101	42606
94	2108	42285
95	2129	42231
96	2172	42619
97	2190	42523
98	2212	42479
99	2227	42313
100	2284	42961
101	2300	42804
102	2315	42646
103	2325	42397
104	2357	42541
105	2361	42203
106	2385	42195
107	2395	41968
108	2418	41951
109	2444	42004
110	2454	41772
111	2472	41684
112	2494	41648
113	2513	41577
114	2532	41503
115	2537	41213
116	2547	40992
117	2557	40785
118	2573	40685
119	2578	40404
120	2606	40475
121	2619	40330
122	2641	40308
123	2650	40093
124	2677	40165
125	2687	39969
126	2690	39681
127	2722	39822
128	2760	40037
129	2797	40242
130	2831	40393
131	2848	40313
132	2864	40205
133	2887	40208
134	2913	40248
135	2930	40164
136	2954	40179
137	2960	39941
138	2970	39769
139	3007	39953
140	3036	40035
141	3063	40080
142	3086	40082
143	3105	40024
144	3126	40002
145	3140	39883
146	3151	39722
147	3161	39560
148	3175	39453
149	3197	39438
150	3232	39584
151	3258	39621
152	3276	39551
153	3300	39564
154	3321	39531
155	3331	39381
156	3350	39328
157	3384	39460
158	3421	39613
159	3428	39428
160	3448	39388
161	3473	39405
162	3494	39377
163	3500	39183
164	3523	39183
165	3534	39052
166	3549	38962
167	3562	38844
168	3584	38830
169	3622	38993
170	3634	38872
171	3651	38809
172	3679	38860
173	3697	38804
174	3729	38898
175	3743	38793
176	3772	38858
177	3782	38714
178	3802	38679
179	3816	38591
180	3830	38492
181	3856	38522
182	3875	38477
183	3904	38537
184	3915	38415
185	3933	38358
186	3960	38401
187	3976	38331
188	3989	38231
189	4010	38200
190	4023	38107
191	4033	37984
192	4061	38022
193	4074	37931
194	4103	37980
195	4117	37896
196	4145	37945
197	4174	37987
198	4207	38079
199	4228	38060
200	4275	38264
201	4326	38506
202	4349	38500
203	4372	38494
204	4385	38403
205	4410	38407
206	4422	38303
207	4441	38265
208	4455	38179
209	4465	38066
210	4482	38005
211	4506	38004
212	4516	37894
213	4529	37803
214	4541	37703
215	4559	37656
216	4592	37733
217	4621	37775
218	4643	37759
219	4653	37648
220	4677	37652
221	4724	37839
222	4740	37779
223	4761	37754
224	4773	37657
225	4791	37611
226	4817	37628
227	4834	37572
228	4863	37613
229	4886	37603
230	4911	37609
231	4927	37547
232	4949	37537
233	4968	37493
234	5000	37559
235	5008	37436
236	5021	37354
237	5043	37341
238	5059	37276
239	5077	37237
240	5097	37206
241	5125	37233
242	5151	37248
243	5166	37184
244	5178	37097
245	5198	37065
246	5212	36995
247	5223	36903
248	5233	36805
249	5267	36875
250	5298	36920
251	5332	36986
252	5349	36939
253	5364	36876
254	5385	36851
255	5445	37100
256	5479	37163
257	5516	37248
258	5551	37318
259	5581	37353
260	5614	37409
261	5635	37381
262	5679	37511
263	5740	37748
264	5799	37971
265	5828	37993
266	5848	37962
267	5867	37917
268	5898	37954
269	5914	37899
270	5923	37791
271	5939	37735
272	5967	37752
273	6000	37799
274	6029	37823
275	6055	37825
276	6079	37817
277	6089	37721
278	6128	37801
279	6172	37918
280	6202	37943
281	6232	37968
282	6248	37911
283	6263	37843
284	6281	37801
285	6305	37791
286	6352	37914
287	6372	37879
288	6390	37836
289	6417	37841
290	6435	37793
291	6454	37753
292	6479	37748
293	6501	37727
294	6510	37626
295	6519	37533
296	6528	37432
297	6556	37447
298	6567	37360
299	6579	37284
300	6601	37260
301	6633	37296
302	6648	37235
303	6672	37227
304	6683	37143
305	6704	37113
306	6716	37039
307	6739	37023
308	6766	37032
309	6790	37021
310	6806	36964
311	6818	36887
312	6832	36827
313	6840	36731
314	6854	36665
315	6881	36670
316	6897	36618
317	6907	36535
318	6926	36498
319	6945	36466
320	6972	36469
321	6998	36472
322	7012	36408
323	7028	36357
324	7037	36268
325	7057	36242
326	7068	36162
327	7099	36188
328	7108	36102
329	7123	36046
330	7145	36028
331	7176	36057
332	7189	35991
333	7255	36190
334	7284	36205
335	7321	36258
336	7354	36291
337	7374	36263
338	7436	36438
339	7490	36569
340	7522	36600
341	7539	36550
342	7565	36545
343	7600	36587
344	7622	36566
345	7650	36572
346	7675	36561
347	7737	36730
348	7772	36770
349	7791	36733
350	7805	36669
351	7827	36645
352	7843	36596
353	7874	36614
354	7897	36596
355	7914	36550
356	7935	36521
357	7955	36487
358	7985	36499
359	8009	36486
360	8040	36505
361	8073	36531
362	8082	36450
363	8093	36378
364	8113	36342
365	8127	36285
366	8159	36305
367	8169	36229
368	8191	36205
369	8205	36150
370	8225	36116
371	8236	36043
372	8281	36123
373	8308	36123
374	8345	36165
375	8365	36131
376	8381	36080
377	8398	36035
378	8415	35991
379	8432	35950
380	8457	35938
381	8465	35857
382	8489	35840
383	8507	35802
384	8517	35729
385	8538	35703
386	8559	35674
387	8576	35631
388	8587	35565
389	8601	35508
390	8620	35474
391	8639	35438
392	8649	35368
393	8677	35371
394	8692	35320
395	8715	35304
396	8751	35337
397	8777	35328
398	8787	35259
399	8798	35192
400	8820	35170
401	8852	35189
402	8886	35215
403	8936	35305
404	8990	35407
405	9006	35362
406	9030	35347
407	9043	35286
408	9055	35224
409	9069	35172
410	9102	35190
411	9119	35148
412	9159	35196
413	9183	35182
414	9208	35170
415	9224	35124
416	9252	35125
417	9283	35134
418	9329	35201
419	9343	35149
420	9360	35108
421	9376	35061
422	9395	35027
423	9422	35024
424	9445	35002
425	9485	35046
426	9496	34984
427	9517	34956
428	9546	34961
429	9566	34927
430	9577	34866
431	9600	34845
432	9618	34810
433	9632	34757
434	9657	34746
435	9675	34706
436	9684	34638
437	9712	34638
438	9726	34586
439	9737	34525
440	9751	34473
441	9778	34469
442	9798	34438
443	9817	34406
444	9853	34431
445	9878	34420
446	9888	34356
447	9913	34342
448	9928	34296
449	9953	34285
450	9964	34222
451	9974	34159
452	10001	34153
453	10027	34146
454	10051	34129
455	10064	34077
456	10087	34059
457	10111	34042
458	10135	34027
459	10164	34027
460	10176	33973
461	10198	33951
462	10211	33898
463	10223	33844
464	10243	33814
465	10268	33801
466	10279	33744
467	10313	33761
468	10372	33860
469	10389	33822
470	10412	33801
471	10437	33789
472	10456	33756
473	10479	33736
474	10492	33685
475	10509	33649
476	10528	33616
477	10554	33606
478	10602	33667
479	10611	33603
480	10640	33601
481	10661	33575
482	10676	33534
483	10691	33489
484	10712	33462
485	10728	33422
486	10744	33381
487	10755	33323
488	10771	33284
489	10808	33308
490	10821	33258
491	10841	33230
492	10859	33196
493	10872	33147
494	10887	33103
495	10907	33073
496	10931	33058
497	10951	33029
498	10983	33037
499	10993	32979
500	11027	32994
501	11039	32943
502	11056	32905
503	11080	32888
504	11110	32892
505	11133	32872
506	11168	32888
507	11199	32893
508	11217	32859
509	11247	32860
510	11259	32807
511	11284	32795
512	11313	32795
513	11325	32742
514	11347	32719
515	11372	32707
516	11381	32648
517	11401	32619
518	11418	32584
519	11437	32553
520	11450	32505
521	11481	32508
522	11501	32480
523	11526	32468
524	11538	32416
525	11558	32389
526	11569	32338
527	11586	32301
528	11596	32246
529	11624	32240
530	11634	32186
531	11659	32173
532	11677	32140
533	11690	32094
534	11708	32060
535	11731	32042
536	11740	31986
537	11753	31939
538	11769	31901
539	11793	31885
540	11802	31830
541	11828	31818
542	11843	31779
543	11862	31750
544	11888	31738
545	11899	31688
546	11911	31639
547	11931	31615
548	11945	31571
549	11962	31538
550	11976	31495
551	11993	31460
552	12001	31404
553	12017	31367
554	12030	31322
555	12060	31321
556	12081	31298
557	12096	31260
558	12122	31248
559	12133	31200
560	12153	31173
561	12167	31131
562	12196	31130
563	12207	31080
564	12217	31030
565	12239	31010
566	12254	30971
567	12262	30915
568	12274	30870
569	12291	30837
570	12322	30838
571	12372	30887
572	12420	30931
573	12444	30916
574	12483	30937
575	12495	30892
576	12507	30845
577	12526	30817
578	12541	30779
579	12563	30757
580	12578	30721
581	12597	30693
582	12619	30671
583	12639	30647
584	12652	30603
585	12674	30582
586	12690	30547
587	12716	30536
588	12725	30486
589	12749	30469
590	12763	30429
591	12776	30386
592	12797	30365
593	12824	30354
594	12834	30307
595	12859	30293
596	12871	30248
597	12894	30231
598	12912	30200
599	12925	30160
600	12948	30140
601	12959	30096
602	12971	30052
603	12988	30020
604	13016	30013
605	13045	30008
606	13053	29956
607	13072	29928
608	13087	29891
609	13109	29873
610	13129	29847
611	13139	29799
612	13158	29772
613	13185	29764
614	13195	29717
615	13216	29695
616	13229	29653
617	13247	29625
618	13272	29611
619	13298	29599
620	13314	29565
621	13334	29542
622	13361	29532
623	13371	29485
624	13382	29442
625	13401	29415
626	13429	29407
627	13445	29374
628	13460	29338
629	13477	29307
630	13492	29273
631	13516	29256
632	13538	29236
633	13556	29207
634	13584	29200
635	13609	29188
636	13619	29141
637	13640	29120
638	13646	29064
639	13688	29088
640	13699	29045
641	13716	29014
642	13734	28985
643	13756	28964
644	13791	28972
645	13816	28959
646	13839	28940
647	13848	28892
648	13881	28897
649	13898	28865
650	13922	28849
651	13933	28807
652	13949	28774
653	13971	28754
654	13989	28727
655	14008	28699
656	14024	28668
657	14064	28685
658	14075	28642
659	14086	28598
660	14104	28571
661	14133	28564
662	14165	28565
663	14198	28568
664	14216	28540
665	14243	28530
666	14261	28501
667	14281	28476
668	14298	28447
669	14338	28463
670	14350	28422
671	14361	28381
672	14380	28355
673	14429	28387
674	14438	28342
675	14463	28328
676	14487	28310
677	14502	28277
678	14541	28290
679	14559	28262
680	14578	28236
681	14601	28218
682	14616	28184
683	14642	28171
684	14668	28159
685	14682	28123
686	14703	28101
687	14730	28091
688	14755	28076
689	14771	28044
690	14798	28034
691	14829	28029
692	14858	28023
693	14873	27989
694	14886	27953
695	14904	27923
696	14928	27908
697	14945	27878
698	14964	27852
699	14984	27828
700	15012	27819
701	15039	27808
702	15071	27806
703	15095	27788
704	15113	27760
705	15121	27715
706	15130	27670
707	15138	27625
708	15146	27579
709	15155	27535
710	15174	27510
711	15196	27489
712	15234	27499
713	15244	27457
714	15269	27442
715	15280	27402
716	15293	27366
717	15319	27352
718	15336	27324
719	15357	27301
720	15369	27265
721	15403	27264
722	15417	27231
723	15442	27217
724	15453	27177
725	15475	27156
726	15485	27115
727	15518	27114
728	15550	27112
729	15575	27097
730	15583	27052
731	15596	27016
732	15614	26990
733	15644	26983
734	15666	26962
735	15684	26936
736	15710	26923
737	15724	26888
738	15743	26863
739	15755	26826
740	15780	26811
741	15795	26780
742	15812	26750
743	15825	26716
744	15841	26685
745	15857	26655
746	15880	26638
747	15907	26625
748	15916	26584
749	15933	26556
750	15955	26535
751	15988	26533
752	15998	26494
753	16023	26479
754	16038	26447
755	16056	26420
756	16068	26384
757	16089	26362
758	16109	26340
759	16139	26332
760	16173	26331
761	16207	26332
762	16219	26296
763	16230	26258
764	16251	26236
765	16284	26233
766	16295	26196
767	16321	26182
768	16339	26155
769	16367	26146
770	16389	26125
771	16419	26117
772	16448	26109
773	16469	26086
774	16509	26095
775	16522	26061
776	16553	26054
777	16573	26031
778	16594	26010
779	16617	25992
780	16634	25962
781	16647	25928
782	16666	25904
783	16690	25887
784	16703	25853
785	16734	25847
786	16746	25811
787	16773	25798
788	16792	25773
789	16800	25732
790	16814	25700
791	16846	25695
792	16867	25673
793	16893	25659
794	16901	25617
795	16927	25604
796	16954	25591
797	16962	25549
798	16988	25535
799	17009	25514
800	17023	25482
801	17042	25457
802	17057	25426
803	17076	25402
804	17162	25476
805	17236	25534
806	17293	25564
807	17313	25541
808	17389	25600
809	17428	25604
810	17470	25612
811	17507	25614
812	17539	25607
813	17576	25609
814	17621	25621
815	17646	25604
816	17673	25590
817	17695	25570
818	17727	25562
819	17765	25565
820	17799	25561
821	17832	25556
822	17872	25559
823	17912	25565
824	17980	25608
825	18009	25596
826	18025	25567
827	18038	25532
828	18063	25515
829	18117	25538
830	18132	25507
831	18148	25477
832	18177	25465
833	18204	25451
834	18227	25430
835	18247	25407
836	18287	25410
837	18299	25374
838	18311	25338
839	18331	25314
840	18353	25293
841	18363	25254
842	18398	25251
843	18434	25248
844	18517	25311
845	18533	25280
846	18547	25248
847	18565	25220
848	18590	25202
849	18614	25184
850	18626	25149
851	18655	25137
852	18679	25117
853	18704	25099
854	18713	25060
855	18725	25026
856	18740	24994
857	18751	24958
858	18783	24950
859	18807	24930
860	18828	24908
861	18855	24892
862	18866	24856
863	18880	24823
864	18897	24795
865	18926	24783
866	18941	24753
867	18963	24730
868	18994	24721
869	19034	24723
870	19052	24696
871	19063	24660
872	19086	24639
873	19105	24614
874	19126	24590
875	19143	24562
876	19163	24538
877	19197	24532
878	19234	24530
879	19265	24519
880	19278	24485
881	19314	24482
882	19357	24486
883	19371	24454
884	19383	24420
885	19411	24406
886	19443	24397
887	19471	24382
